,time,latitude,longitude,depth,mag,magType,id,updated,place,type,horizontalError,depthError,locationSource,magSource
98,2015-12-05 02:10:00.660000+00:00,-23.5099,-64.6396,11.57,5.3,mb,us1000448u,2022-08-01T21:53:26.168Z,"22 km NW of Yuto, Argentina",earthquake,6.5,3.6,us,us
99,2015-12-04 22:25:00.110000+00:00,-47.6165,85.0913,35.0,7.1,mww,us100043z2,2022-05-03T17:36:43.060Z,southeast Indian Ridge,earthquake,8.0,1.8,us,us
100,2015-12-04 20:22:18.060000+00:00,-54.007,-2.3854,14.25,5.0,mb,us100043fl,2016-11-10T22:03:32.042Z,southern Mid-Atlantic Ridge,earthquake,13.3,4.2,us,us
101,2015-12-04 04:25:50.830000+00:00,21.4894,145.748,10.0,5.4,mww,us1000438a,2016-11-10T22:03:28.462Z,Mariana Islands region,earthquake,7.2,1.7,us,us
102,2015-12-03 15:55:15.080000+00:00,-33.98,-109.3331,14.65,5.0,mb,us1000431u,2016-11-10T22:03:22.039Z,southern East Pacific Rise,earthquake,13.7,3.4,us,us
103,2015-12-03 15:29:08.500000+00:00,-5.66,149.7542,144.25,5.3,mb,us1000431p,2016-11-10T22:03:20.873Z,"44 km WSW of Kimbe, Papua New Guinea",earthquake,5.8,4.4,us,us
104,2015-12-03 14:31:12.860000+00:00,22.5999,121.4008,21.8,5.1,mb,us1000431g,2022-08-01T21:36:43.047Z,"94 km NE of Hengchun, Taiwan",earthquake,4.1,4.8,us,us
105,2015-12-03 03:02:34.500000+00:00,-34.5735,-109.3484,10.0,5.2,mb,us100042wp,2016-11-10T22:03:16.256Z,southern East Pacific Rise,earthquake,13.1,1.9,us,us
106,2015-12-03 00:23:55.740000+00:00,-34.4849,-109.2098,10.0,5.0,mb,us100042w1,2016-11-10T22:03:13.947Z,southern East Pacific Rise,earthquake,13.9,1.8,us,us
107,2015-12-02 23:27:09.890000+00:00,39.2826,40.2553,10.0,5.4,mww,us100042v4,2022-08-01T21:35:37.339Z,"17 km ENE of Yayladere, Turkey",earthquake,4.1,1.7,us,us
108,2015-12-02 10:08:28.990000+00:00,-6.2443,154.6777,56.1,5.3,mb,us100042nk,2016-11-10T22:02:57.980Z,"89 km W of Panguna, Papua New Guinea",earthquake,7.7,3.5,us,us
109,2015-12-01 20:20:12.680000+00:00,-6.9809,155.5596,51.91,5.0,mb,us100042jf,2016-02-25T22:33:04.040Z,"73 km S of Panguna, Papua New Guinea",earthquake,8.3,6.6,us,us
110,2015-12-01 17:08:25.130000+00:00,-14.8839,-176.5573,10.0,5.8,mww,us100042gv,2022-05-03T17:36:40.676Z,"179 km ESE of Alo, Wallis and Futuna",earthquake,7.5,1.8,us,us
111,2015-12-01 13:39:55.090000+00:00,-16.379,-71.1123,117.31,5.0,mww,us100042fk,2022-08-07T08:34:42.614Z,"22 km SSW of Tarucani, Peru",earthquake,8.8,4.5,us,us
112,2015-12-01 12:14:21.780000+00:00,1.0112,127.5026,10.0,5.1,mb,us100042f0,2022-05-03T17:36:39.436Z,"27 km NNE of Ternate, Indonesia",earthquake,8.5,1.9,us,us
113,2015-12-01 06:13:43.360000+00:00,41.3752,73.257,40.83,5.1,mb,us100042du,2022-08-01T21:24:13.273Z,"53 km NNE of Jalal-Abad, Kyrgyzstan",earthquake,5.6,2.4,us,us
114,2015-11-30 20:19:05.270000+00:00,-8.791,67.6967,10.0,5.5,mwb,us1000429g,2022-05-03T17:36:33.027Z,Mid-Indian Ridge,earthquake,6.6,1.8,us,us
115,2015-11-30 14:45:24.340000+00:00,-24.3012,-67.1815,179.34,5.3,mwr,us1000426g,2016-11-10T22:02:47.824Z,"88 km W of San Antonio de los Cobres, Argentina",earthquake,6.2,6.7,us,guc
116,2015-11-29 18:56:21.610000+00:00,-23.4779,-64.5862,10.0,5.5,mb,us100042zp,2024-06-16T23:44:21.593Z,"21 km NNW of Yuto, Argentina",earthquake,5.6,1.8,us,us
117,2015-11-29 18:52:49.490000+00:00,-23.5597,-64.6521,11.0,5.8,mww,us1000421x,2022-08-01T20:58:51.819Z,"20 km WNW of Yuto, Argentina",earthquake,7.0,1.8,us,us
118,2015-11-28 23:47:37.080000+00:00,10.4635,-86.1935,20.97,5.0,mb,us100041yi,2022-08-01T20:55:12.033Z,"60 km W of Sardinal, Costa Rica",earthquake,6.0,4.4,us,us
119,2015-11-28 22:32:50.320000+00:00,3.8456,126.8672,23.83,5.4,mb,us100042qn,2022-05-03T19:21:54.543Z,"232 km SE of Sarangani, Philippines",earthquake,9.1,4.8,us,us
120,2015-11-28 14:47:18.970000+00:00,-7.0548,105.9999,51.34,5.4,mww,us100041wc,2022-08-01T20:48:26.393Z,"61 km W of Pelabuhanratu, Indonesia",earthquake,6.1,4.2,us,us
121,2015-11-28 13:39:23.270000+00:00,3.6638,126.9528,68.56,5.2,mb,us100041vx,2022-05-03T17:36:29.581Z,"244 km NNW of Tobelo, Indonesia",earthquake,9.5,6.8,us,us
122,2015-11-28 13:11:38.850000+00:00,15.2277,59.5266,10.0,5.4,mww,us100041vv,2022-08-01T20:47:26.952Z,Owen Fracture Zone region,earthquake,9.0,1.8,us,us
123,2015-11-28 05:44:40.060000+00:00,-30.3688,-72.151,10.0,5.6,mww,us100041ui,2022-05-03T19:21:53.168Z,"90 km WSW of Coquimbo, Chile",earthquake,3.6,1.8,us,us
124,2015-11-28 02:51:07.830000+00:00,43.3856,146.4353,69.0,5.6,mww,us100041u7,2022-08-01T20:45:32.130Z,"51 km SSW of Shikotan, Russia",earthquake,7.5,1.8,us,us
125,2015-11-27 21:00:22.920000+00:00,-24.828,-70.6009,34.0,6.2,mww,us100041t7,2022-05-03T19:17:55.475Z,"65 km N of Taltal, Chile",earthquake,5.6,1.7,us,us
126,2015-11-27 15:46:42.840000+00:00,2.8539,96.5417,44.95,5.0,mb,us100041qz,2016-02-25T22:32:57.040Z,"45 km NNE of Sinabang, Indonesia",earthquake,7.3,6.0,us,us
127,2015-11-27 11:46:27.180000+00:00,13.0906,-88.9476,52.0,5.6,mww,us100041q5,2022-08-01T20:40:30.270Z,"45 km S of El Rosario, El Salvador",earthquake,6.3,1.9,us,us
128,2015-11-27 11:40:34.340000+00:00,34.8307,73.9303,5.0,5.0,mb,us100041q3,2022-08-01T20:41:33.423Z,"66 km NE of Muzaffar?b?d, Pakistan",earthquake,3.3,3.7,us,us
129,2015-11-27 00:52:54.610000+00:00,-9.2924,-71.0944,616.98,5.1,mb,us100041lm,2016-02-25T22:32:56.040Z,"130 km SSW of Tarauacá, Brazil",earthquake,9.4,5.2,us,us
130,2015-11-26 13:51:31.310000+00:00,-17.653,179.8426,604.12,5.1,mb,us100041iu,2022-05-03T17:36:25.880Z,"72 km NE of Levuka, Fiji",earthquake,10.2,6.5,us,us
131,2015-11-26 05:45:18.400000+00:00,-9.1825,-71.2574,602.75,6.7,mww,us100041f1,2022-08-01T20:31:10.288Z,"125 km SSW of Tarauacá, Brazil",earthquake,8.8,3.2,us,us
132,2015-11-26 00:17:22.820000+00:00,-4.7909,145.1454,187.15,5.1,mb,us100041dh,2016-11-10T22:02:09.926Z,"85 km NW of Madang, Papua New Guinea",earthquake,7.4,5.5,us,us
133,2015-11-25 21:17:18.500000+00:00,31.892,49.54,12.0,5.4,mb,us100041c9,2022-08-01T20:18:38.215Z,"22 km ESE of Masjed Soleym?n, Iran",earthquake,4.9,3.5,teh,us
134,2015-11-25 18:57:41.590000+00:00,1.4305,126.2904,33.16,5.7,mww,us100041ay,2022-08-01T20:15:44.511Z,"140 km WNW of Ternate, Indonesia",earthquake,6.6,3.0,us,us
135,2015-11-25 11:23:01.960000+00:00,4.2222,125.766,140.97,5.0,mb,us1000417j,2016-02-18T04:48:55.040Z,"134 km SSE of Sarangani, Philippines",earthquake,6.7,5.1,us,us
136,2015-11-25 04:46:50.780000+00:00,31.4331,140.1479,124.67,5.0,mb,us1000415h,2016-02-18T04:48:54.040Z,"Izu Islands, Japan region",earthquake,7.0,5.1,us,us
137,2015-11-24 22:50:54.370000+00:00,-10.0598,-71.0184,620.56,7.6,mww,us100040x6,2022-05-03T17:36:19.318Z,"185 km WNW of Iñapari, Peru",earthquake,8.5,3.1,us,us
138,2015-11-24 22:45:38.880000+00:00,-10.5372,-70.9437,606.21,7.6,mww,us100040ww,2022-05-03T19:21:42.904Z,"155 km WNW of Iñapari, Peru",earthquake,8.5,3.2,us,us
